"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","975","User can add product to cart","","Fri Nov 07 08:36:27 UTC 2025","passed","Fri Nov 07 08:36:28 UTC 2025","","Inventory Page","User can add product to cart",""
"","837","Login with uppercase username","","Fri Nov 07 08:36:50 UTC 2025","passed","Fri Nov 07 08:36:50 UTC 2025","","Login","Login with uppercase username",""
"","16230","User can remove product from cart","","Fri Nov 07 08:36:28 UTC 2025","broken","Fri Nov 07 08:36:44 UTC 2025","","Inventory Page","User can remove product from cart",""
"","802","Login with empty username","","Fri Nov 07 08:36:48 UTC 2025","passed","Fri Nov 07 08:36:49 UTC 2025","","Login","Login with empty username",""
"","1072","Add multiple products then remove one","","Fri Nov 07 08:36:45 UTC 2025","passed","Fri Nov 07 08:36:46 UTC 2025","","Inventory Page","Add multiple products then remove one",""
"","14967","User can see list of products on inventory page","","Fri Nov 07 08:36:12 UTC 2025","passed","Fri Nov 07 08:36:27 UTC 2025","","Inventory Page","User can see list of products on inventory page",""
"","860","Login using valid email and password","","Fri Nov 07 08:36:46 UTC 2025","passed","Fri Nov 07 08:36:47 UTC 2025","","Login","Login using valid email and password",""
"","833","Login with locked user","","Fri Nov 07 08:36:50 UTC 2025","passed","Fri Nov 07 08:36:51 UTC 2025","","Login","Login with locked user",""
"","847","Login fails with error message","","Fri Nov 07 08:36:47 UTC 2025","passed","Fri Nov 07 08:36:48 UTC 2025","","Login","Login fails with error message",""
"","810","Login with empty password","","Fri Nov 07 08:36:49 UTC 2025","passed","Fri Nov 07 08:36:50 UTC 2025","","Login","Login with empty password",""
"","1040","Add multiple products to cart","","Fri Nov 07 08:36:44 UTC 2025","passed","Fri Nov 07 08:36:45 UTC 2025","","Inventory Page","Add multiple products to cart",""
