"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","765","Login with locked user","","Fri Nov 07 13:16:00 UTC 2025","passed","Fri Nov 07 13:16:01 UTC 2025","","Login","Login with locked user",""
"","758","Login with empty username","","Fri Nov 07 13:15:58 UTC 2025","passed","Fri Nov 07 13:15:58 UTC 2025","","Login","Login with empty username",""
"","1094","Add multiple products then remove one","","Fri Nov 07 13:15:55 UTC 2025","passed","Fri Nov 07 13:15:56 UTC 2025","","Inventory Page","Add multiple products then remove one",""
"","962","User can add product to cart","","Fri Nov 07 13:15:52 UTC 2025","passed","Fri Nov 07 13:15:53 UTC 2025","","Inventory Page","User can add product to cart",""
"","778","Login fails with error message","","Fri Nov 07 13:15:57 UTC 2025","passed","Fri Nov 07 13:15:58 UTC 2025","","Login","Login fails with error message",""
"","1008","User can remove product from cart","","Fri Nov 07 13:15:53 UTC 2025","passed","Fri Nov 07 13:15:54 UTC 2025","","Inventory Page","User can remove product from cart",""
"","18576","User can see list of products on inventory page","","Fri Nov 07 13:15:33 UTC 2025","passed","Fri Nov 07 13:15:52 UTC 2025","","Inventory Page","User can see list of products on inventory page",""
"","799","Login with uppercase username","","Fri Nov 07 13:15:59 UTC 2025","passed","Fri Nov 07 13:16:00 UTC 2025","","Login","Login with uppercase username",""
"","816","Login using valid email and password","","Fri Nov 07 13:15:56 UTC 2025","passed","Fri Nov 07 13:15:57 UTC 2025","","Login","Login using valid email and password",""
"","778","Login with empty password","","Fri Nov 07 13:15:58 UTC 2025","passed","Fri Nov 07 13:15:59 UTC 2025","","Login","Login with empty password",""
"","1030","Add multiple products to cart","","Fri Nov 07 13:15:54 UTC 2025","failed","Fri Nov 07 13:15:55 UTC 2025","","Inventory Page","Add multiple products to cart",""
