"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","772","Login with empty password","","Thu Nov 27 07:14:49 UTC 2025","passed","Thu Nov 27 07:14:50 UTC 2025","","Login","Login with empty password",""
"","784","Login with locked user","","Thu Nov 27 07:14:51 UTC 2025","passed","Thu Nov 27 07:14:52 UTC 2025","","Login","Login with locked user",""
"","977","Add multiple products then remove one","","Thu Nov 27 07:14:46 UTC 2025","failed","Thu Nov 27 07:14:47 UTC 2025","","Inventory Page","Add multiple products then remove one",""
"","925","User can remove product from cart","","Thu Nov 27 07:14:44 UTC 2025","passed","Thu Nov 27 07:14:45 UTC 2025","","Inventory Page","User can remove product from cart",""
"","1116","User can add product to cart","","Thu Nov 27 07:14:43 UTC 2025","passed","Thu Nov 27 07:14:44 UTC 2025","","Inventory Page","User can add product to cart",""
"","792","Login with uppercase username","","Thu Nov 27 07:14:50 UTC 2025","passed","Thu Nov 27 07:14:51 UTC 2025","","Login","Login with uppercase username",""
"","767","Login with empty username","","Thu Nov 27 07:14:48 UTC 2025","passed","Thu Nov 27 07:14:49 UTC 2025","","Login","Login with empty username",""
"","770","Login using valid email and password","","Thu Nov 27 07:14:47 UTC 2025","passed","Thu Nov 27 07:14:48 UTC 2025","","Login","Login using valid email and password",""
"","976","Add multiple products to cart","","Thu Nov 27 07:14:45 UTC 2025","passed","Thu Nov 27 07:14:46 UTC 2025","","Inventory Page","Add multiple products to cart",""
"","772","Login fails with error message","","Thu Nov 27 07:14:48 UTC 2025","passed","Thu Nov 27 07:14:48 UTC 2025","","Login","Login fails with error message",""
"","8051","User can see list of products on inventory page","","Thu Nov 27 07:14:35 UTC 2025","passed","Thu Nov 27 07:14:43 UTC 2025","","Inventory Page","User can see list of products on inventory page",""
